id,nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,a0dresse_station,code_insee_commune,code_dep,nbre_pdc,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,horaires,raccordement,date_mise_en_service,cable_t2_attache,consolidated_longitude,consolidated_latitude
1267,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,22.08,False,True,False,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,True,-1.689882,47.852074
1268,R3,902726488,kg@lastmilesolutions.com,R3,kg@lastmilesolutions.com,tel:+352-25-36-36-404,SPV COM,FR3R3P90882245,FR3R3P90882245,R3 - Bain-de-Bretagne - Buffalo Grill,Parking privé à usage public,8 rue de la Seine,35221,35,6,22.08,False,True,False,False,False,False,False,False,False,,Accès libre,24/7,Indirect,0000-00-00,True,-1.689882,47.852074
1344,SARL Thouzeau LM,303486377,campingdelatorche@gmail.com,Evbox,frsupport@evbox.com,189960933,Reseau Evbox charge,FR44P2213465,,Camping de la Torche,Parking privé à usage public,Roz An Tremen 29120 Plomeur,29171,29,2,22.0,true,true,false,false,false,false,true,true,false,0.33,Accès libre,24/7,Direct,2023-12-22,,-4.325838,47.83265
2026,ELECTRIC 55 CHARGING,832489801,contact@e55c.com,ELECTRIC 55 CHARGING,contact@e55c.com,33975891501,ELECTRIC 55 CHARGING,FR55CPRNO35300F0UGERES,FR*55C*PRNO*35300*F0UGERES,RENAULT DEALER FOUGERES,Parking public,"3, Rue des Combattants d'Afrique du Nord 35300 Fougères",35115,35,2,22.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Accès libre,24/7,Indirect,2021-04-13,,-1.181023,48.348536
2027,ELECTRIC 55 CHARGING,832489801,contact@e55c.com,ELECTRIC 55 CHARGING,contact@e55c.com,33975891501,ELECTRIC 55 CHARGING,FR55CPRNO35300F0UGERES,FR*55C*PRNO*35300*F0UGERES,RENAULT DEALER FOUGERES,Parking public,"3, Rue des Combattants d'Afrique du Nord 35300 Fougères",35115,35,2,22.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Accès libre,24/7,Indirect,2021-04-13,,-1.181023,48.348536
2028,ELECTRIC 55 CHARGING,832489801,contact@e55c.com,ELECTRIC 55 CHARGING,contact@e55c.com,33975891501,ELECTRIC 55 CHARGING,FR55CPRNO35470BA1N,FR*55C*PRNO*35470*BA1N,RENAULT DEALER BAIN DE BRETAGNE,Parking public,"6, rue Lanserva 35470 Bain-de-Bretagne",35012,35,2,22.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Accès libre,24/7,Indirect,2021-10-04,,-1.683721,47.862233
2029,ELECTRIC 55 CHARGING,832489801,contact@e55c.com,ELECTRIC 55 CHARGING,contact@e55c.com,33975891501,ELECTRIC 55 CHARGING,FR55CPRNO35470BA1N,FR*55C*PRNO*35470*BA1N,RENAULT DEALER BAIN DE BRETAGNE,Parking public,"6, rue Lanserva 35470 Bain-de-Bretagne",35012,35,2,22.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Accès libre,24/7,Indirect,2021-10-04,,-1.683721,47.862233
4948,mbc,433188018,pierre.eon@wanadoo.fr,EVBOX,contact@evbox.com,02 23 25 08 86,MBC,Non concerné,,MBC THORIGNE,Parking privé à usage public,3 avenur saint exupery 352,35334,35,2,22.0,true,true,false,false,false,false,true,true,true,,Accès libre,"MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00",Indirect,2021-10-14,,-1.59,48.15
4949,ROUXEL MARINE,415183680,rouxelmarine@wanadoo.fr,EVBOX,contact@evbox.com,+‭33 1 41 44 70 47‬,EVBOX,Non concerné,,BORNE ROUXEL MARINE,Parking privé à usage public,ROUTE DE SAINT CAST 22550,22143,22,2,22.0,true,true,false,false,false,false,true,true,true,0.50? 2.5 CONNECTION,Accès libre,"MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00",Indirect,2021-11-12,,-2.28,48.61
4950,christophe perry,413171711,christophe.perry@huissier-justice.fr,EVBOX,contact@evbox.com,,EVBOX,FRAEVBP2011078,,BORNE PERRY,Parking privé à usage public,10 rue des Princes,35085,35,1,22.0,true,true,false,false,false,false,true,true,true,,Accès libre,"MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00",Direct,2021-12-01,,-1.75,48.41
4951,CHRISTOPHE PERRY,413171711,christophe.perry@huissier-justice.fr,EVBOX,contact@evbox.com,,EVBOX,FRAEVBP2022531,,BORNE CHRISTOPHE PERRY,Parking privé à usage public,10 rue des Princes,35085,35,1,22.0,true,true,false,false,false,false,true,true,true,0.50? 2.5 CONNECTION,Accès libre,"MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00",Direct,2021-12-01,,-1.75,48.41
5744,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5746,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002080,FRALLPGO002080,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,22.0,True,True,False,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5747,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5749,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002080,FRALLPGO002080,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,22.0,True,True,False,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5750,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5751,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5752,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5754,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002081,FRALLPGO002081,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,22.0,True,True,False,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5755,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5757,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002081,FRALLPGO002081,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,22.0,True,True,False,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5758,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5759,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,22.0,true,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5896,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,300.0,false,true,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5898,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002099,FRALLPGO002099,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,300.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5899,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,300.0,false,true,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5901,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002099,FRALLPGO002099,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,300.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5902,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,300.0,false,false,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5903,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,300.0,false,false,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5904,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,300.0,false,true,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5906,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002100,FRALLPGO002100,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,300.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5907,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,300.0,false,true,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.3447835,47.7762883
5909,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002100,FRALLPGO002100,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,2,300.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-11-22,False,-3.3447835,47.7762883
5910,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,300.0,false,false,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5911,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,300.0,false,false,true,false,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2021-11-22,,-3.344864,47.776331
5912,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,43.0,false,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.3447835,47.7762883
5913,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002101,FRALLPGO002101,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,43.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-12-08,False,-3.3447835,47.7762883
5914,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,50.0,false,false,false,true,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.3447835,47.7762883
5915,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002101,FRALLPGO002101,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,50.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-12-08,False,-3.3447835,47.7762883
5916,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,50.0,false,false,true,false,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.3447835,47.7762883
5917,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002101,FRALLPGO002101,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,50.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2021-12-08,False,-3.3447835,47.7762883
5918,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,43.0,false,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.344864,47.776331
5919,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,50.0,false,false,false,true,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.344864,47.776331
5920,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,50.0,false,false,true,false,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2021-12-08,,-3.344864,47.776331
5921,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,43.0,false,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.3447835,47.7762883
5922,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002102,FRALLPGO002102,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,43.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2022-11-10,False,-3.3447835,47.7762883
5923,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,50.0,false,false,false,true,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.3447835,47.7762883
5924,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002102,FRALLPGO002102,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,50.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2022-11-10,False,-3.3447835,47.7762883
5925,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000009,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,14,50.0,false,false,true,false,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.3447835,47.7762883
5926,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Carrefour Lanester,FRALLPGO002102,FRALLPGO002102,Allego - Carrefour Lanester,Station dédiée à la recharge rapide,78 Avenue Ambroise Croizat,56098,56,3,50.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2022-11-10,False,-3.3447835,47.7762883
5927,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,43.0,false,true,false,false,false,false,false,false,true,49 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.344864,47.776331
5928,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,50.0,false,false,false,true,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.344864,47.776331
5929,Allego,842718512,fabien.lepeytre@allego.eu,Green To Wheel,info.allego.france@allego.eu,01 40 70 06 17,GreenToWheel,FRALLPCAS010,,CASINO LANESTER,Parking privé à usage public,78 Avenue Ambroise Croizat56600 LANESTER,56098,56,10,50.0,false,false,true,false,false,false,false,false,true,59 cts/kWh,Accès libre,24/7,Direct,2022-11-10,,-3.344864,47.776331
6162,Allego,842718512,fabien.lepeytre@allego.eu,Allego,info.allego.france@allego.eu,01 40 70 06 17,ALLEGO,FRSITE00000285,,Darty Brest,Parking privé à usage public,"3 Rue André Colin, 29200- Brest",29019,29,4,200.0,false,true,true,true,false,false,false,true,true,59 cts/kWh,Accès libre,24/7,Direct,2025-09-25,,-4.468445,48.426695
6164,Allego,842718512,mathieu.laneelle@allego.eu,Allego,fabien.lepeytre@allego.eu,tel:+33-6-22-53-03-38,Allego - Darty Brest,FRALLPGO400005,FRALLPGO400005,Allego - Darty Brest,Station dédiée à la recharge rapide,3 Rue André Colin,29019,29,2,200.0,False,False,True,False,False,False,True,True,True,,Accès libre,24/7,Direct,2025-09-25,False,-4.4683742,48.4267326
